Class,Type,Displacement,Country,First commissioned,YEAR
Admiralty,flotilla leader,1530,ENG,14 September 1918,1918
Körös,river monitor,448,Royal Yugoslav Navy,15 April 1920,1920
Rivadavia,dreadnought,27720,Argentine Navy,26 February 1915,1915
Sims,DD,1570,USA,5 March 1940,1940
Fletcher,DD,"2,050 tons",USA,18 December 1943,1943
Raubvogel,torpedo boat,1213,GER,1 October 1926,1926
River,FF,1370,Royal Navy  Free French Naval Forces,15 October 1944,1944
Bagley,DD,1500,USA,16 August 1937,1937
Shiratsuyu,DD,1685,JPN,7 January 1937,1937
Yamato,BB,68200,JPN,5 August 1942,1942
Sims,DD,1570,USA,15 September 1939,1939
Nagato,dreadnought,42850,JPN,24 October 1921,1921
Montecuccoli,CL,3184,Regia Marina,1935,1935
V,DD,1830,ENG,23 June 1944,1944
Myōkō,CA,13380,JPN,1929,1929
M,DD,1920,Royal Navy  Polish Navy,1941,1941
Type 1934,DD,"2,259 t (2,223 long tons) (standard)[5][a]",GER,14 January 1937[6],1937
Type 1934,DD,"2,259 t (2,223 long tons) (standard)[5]",GER,27 February 1937[6],1937
Type 1934,DD,3150,GER,27 February 1937,1937
Type 1934A,DD,"2,206 t (2,171 long tons) (normal) 3,160 t (3,110 long tons) (deep load)",GER,29 June 1937,1937
Type 1934A,DD,3100,GER,2 July 1937,1937
Type 1934A,DD,3100,GER,8 January 1938,1938
Type 1934A,DD,3100,GER,4 March 1939,1939
Type 1936,DD,4400,GER,29 August 1938,1938
Type 1936,DD,3400,GER,8 October 1938,1938
Type 1936,DD,3400,GER,12 January 1939,1939
Type 1936,DD,3415,GER,21 March 1939,1939
Type 1936A,DD,3605,GER,15 September 1940,1940
Type 1936A,DD,3605,GER,11 January 1941,1941
Type 1936A Mob,DD,3691,GER,11 April 1942,1942
Type 1936A Mob,DD,3691,GER,6 February 1943,1943
Type 1936B,DD,"2,559 t (2,519 long tons)",GER,22 September 1943,1943
Type 1936B,DD,"2,559 t (normal) 3,599 t (3,542 long tons) (deep load)",GER,19 February 1944,1944
Type 1936B,DD,"2,559 t (normal) 3,599 t (deep load)",GER,,
Type 1936B,DD,,GER,,
Type 1936B,DD,"2,559 t (normal) 3,599 t (deep load)",GER,31 May 1944,1944
Z,DD,1830,ENG,18 July 1944,1944
Zara,CA,11500,Regia Marina,20 October 1931,1931
Zuihō,CV,11260,JPN,January 1941,1941
Shōkaku,CV,29800,JPN,25 September 1941,1941
Archimede,SS,1230,ENG,19 March 1934,1934
X,SS,30,ENG,1942,1942
X,SS,30,ENG,1943,1943
X,SS,30,ENG,1944,1944
Xanthus,repair ship,5801,USA,9 May 1945,1945
XE,SS,33,ENG,1944,1944
XE,SS,33,ENG,,
Artemis,attack cargo ship,4087,USA,28 July 1945,1945
XT,training submarine,30,ENG,1944,1944
Sims,DD,1570.0,USA,2 March 1940,1940
Atlanta,CL,6000.0,USA,17 July 1943,1943
Hunt,DD,1050.0,ENG,7 May 1942,1942
Flower,K,925.0,Royal Canadian Navy,18 November 1941,1941
O,minelayer destroyer,1540.0,ENG,3 September 1942,1942
Odin,SS,1922.0,ENG,24 August 1927,1927
Colossus,CV,13200.0,ENG,8 August 1945,1945
Odin,SS,2038.0,ENG,21 December 1929,1929
O,DD,1540.0,ENG,20 September 1941,1941
Kuma,CL,5100.0,JPN,10 October 1921,1921
Okinoshima,CM,4290.0,JPN,30 September 1936,1936
Nevada,BB,29000.0,USA,2 May 1916,1916
Cleveland,CL,11800.0,USA,22 December 1944,1944
Gangut,BB,23000.0,Soviet Navy,3 June 1909,1909
Oldenburg,CM,1141.0,GER,13 September 1943,1943
