Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate
Bright,USA,Cannon,DE,1240.0,30 June 1944,"to France 1950, scrapped 1965"
Brighton,Royal Navy  Soviet Navy,Town,DD,1200.0,23 September 1940,to USSR as Zharki 16 July 1944
Brilliant,ENG,B,DD,1350.0,21 February 1931,scrapped August 1947
Brisk,USA,Flower modified,K,1015.0,6 December 1942,9 October 1945
Brissenden,ENG,Hunt,DE,1175.0,12 February 1943,Paid off 19 June 1948
Brister,USA,Edsall,DE,1250.0,30 November 1943,scrapped 1968
Bristol (I),USA,Gleaves,DD,1630.0,22 October 1941,sunk 13 October 1943
Bristol (II),USA,Sumner,DD,2200.0,17 March 1945,"to Taiwan 1969, scrapped 1993"
Broadwater,ENG,Town,DD,1200.0,9 October 1940,sunk 18 October 1941
Broadway,ENG,Town,DD,1200.0,8 October 1940,scrapped 1947
Brocklesby,ENG,Hunt,DE,1050.0,9 April 1941,"paid off 22 June 1963, scrapped 1968"
Bronstein,USA,Cannon,DE,1240.0,13 December 1943,"to Uruguay 1952, scrapped 1988"
Brooklyn,USA,Brooklyn-class light cruiser,,9950.0,30 September 1937,"Decommissioned 3 January 1947, sold to Chile. Sank in Pacific 1992"
Brooks,USA,Clemson,DD,1200.0,18 June 1920,"constructive loss 6 January 1945, scrapped"
Broome,USA,Clemson,DD,1200.0,31 October 1919,scrapped 1946
Brough,USA,Edsall,DE,1250.0,18 September 1943,scrapped 1967
Brown,USA,Fletcher,DD,2050.0,10 July 1943,"to Greece 1962, scrapped 1981"
Brownson,USA,Fletcher,DD,2050.0,3 February 1943,sunk 26 December 1943
Brummer,GER,,CM,1924.0,9 April 1940,"Captured from Norway 9 April 1940, sunk May 1945"
Brush,USA,Sumner,DD,2200.0,17 April 1944,to Taiwan 1969
Brutus,ENG,,Special Service Ship,5945.0,,paid off March 1941
Bryant,USA,Fletcher,DD,2050.0,4 December 1943,"decommissioned 1947, sunk as a target 1969"
Bryony,ENG,Flower,K,925.0,4 June 1942,sunk on 15 April 1941by aircraft
Buchanan (II),USA,Gleaves,DD,1630.0,21 March 1942,"to Turkey 1949, scrapped 1976"
Buck,USA,Sims,DD,1570.0,15 May 1940,sunk 9 October 1943
Buckingham,Royal Canadian Navy,River,FF,1445.0,2 November 1944,paid off 23 March 1965
