Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate
Atlanta (CL-51),USA,Atlanta,CL,6000.0,24 December 1941,Sunk 13 November 1942 Guadalcanal
Atlanta (CL-104),USA,Cleveland,CL,11800.0,3 December 1944,Sunk as target 1970
Atlantis,GER,,MC,7862.0,19 December 1939,Sunk 21 November 1941
Attacker,ENG,Attacker,CVE,11400.0,30 September 1942,"paid off 5 January 1946, scrapped 24 May 1980"
Attilio Regolo,Regia Marina,Capitani Romani,CL,3750.0,August 1942,ceded to France 1948
Attu,USA,Casablanca,CVE,7800.0,30 June 1944,Scrapped 1947
Aubrietia,ENG,Flower,K,925.0,23 December 1940,[13]
Augusta,USA,Northampton,CA,9200.0,30 January 1931,Scrapped 1960
Aulick,USA,Fletcher,DD,2050.0,27 October 1942,"To Greece 1959, scrapped 1997"
Ault,USA,Allen M. Sumner,DD,2200.0,31 May 1944,Scrapped 1974
Auricula,ENG,Flower,K,925.0,5 March 1941,6 May 1942[13]
Aurora,Soviet Navy,,C,6731.0,29 July 1903,In 1957 became a museum ship.
Austin,USA,Evarts,DE,1140.0,13 February 1943,Scrapped 1947
Australia,Royal Australian Navy,County,CA,9850.0,24 April 1928,Scrapped 1955
Avenger,ENG,Avenger,CVE,8200.0,2 March 1942,Sunk 15 November 1942
Avon Vale,ENG,Hunt,DE,1050.0,17 February 1941,scrapped 1958
Ayanami,JPN,Fubuki,DD,2090.0,30 April 1930,Sunk 15 November 1942
Aylwin,USA,Farragut,DD,1365.0,1 March 1935,Scrapped 1947
Azalea,ENG,Flower,K,925.0,27 January 1941,
